ratio_mdisk,ratio_g2d,rtap,model_mark_short
0.0001,100.0,100.0,diskmint_mstar1p0ms_mdisk1p00e-04ms_gtd100_rtap100au
0.005,100.0,100.0,diskmint_mstar1p0ms_mdisk5p00e-03ms_gtd100_rtap100au
