9.689077552940106201e+11 6.866419425156530565e+01
1.343601074348259766e+12 4.948217770697775109e+01
1.863194754223043213e+12 3.564951391362571087e+01
2.583724260452980957e+12 2.567442229147467359e+01
3.582894938343113281e+12 1.848114126799117329e+01
4.968462128754505859e+12 1.329391299953407923e+01
6.889852019016656250e+12 9.553321919689480524e+00
9.554276477065126953e+12 6.855964655649668948e+00
1.324907976952834570e+13 4.910945012535893994e+00
1.837272714063711328e+13 3.508502207148553431e+00
2.547777720839625391e+13 2.497389013391290380e+00
3.533047252658195312e+13 1.768560063266624072e+00
4.899337484355563281e+13 1.243410969861209470e+00
6.793995683910519531e+13 8.652995455451295559e-01
9.421350845983895312e+13 5.934340253711511970e-01
1.306474950717571562e+14 3.984679047818452946e-01
1.811711319062165312e+14 2.291226125225923893e-01
2.479399138057740000e+14 1.187670956970741654e-01
3.233883153759734375e+14 8.173382547615937188e-02
3.985920031653990625e+14 5.760601344576361804e-02
4.736675503505606250e+14 4.296302828869885682e-02
5.486675608460886250e+14 3.470184923195950705e-02
6.236192886661635000e+14 3.087609331848150188e-02
6.985382758805613750e+14 2.925759152389423995e-02
7.734340368421101250e+14 2.783725792947328720e-02
8.483127233653742500e+14 2.657178653743731689e-02
9.231784901649698750e+14 2.543026981323073463e-02
9.980342446955258750e+14 2.438997331301125462e-02
1.072882082648724375e+15 2.343375067795184716e-02
1.147723552844656000e+15 2.254839437054590584e-02
1.222559824729266750e+15 2.172354572003384887e-02
1.297391797851270000e+15 2.095095268283582793e-02
1.372220175490597500e+15 2.022395115859664666e-02
1.447045515426913500e+15 1.953709427459865769e-02
1.521868265722377500e+15 1.888588212805852526e-02
1.596688790438052750e+15 1.826656127591273077e-02
1.671507388440215000e+15 1.767597362392784102e-02
1.746324307370175500e+15 1.711144093244476236e-02
1.821139754169245250e+15 1.657067541688251461e-02
1.895953903110862500e+15 1.605170974647976076e-02
1.970766902002621250e+15 1.555284165505244585e-02
2.045578877026917500e+15 1.507258969217251977e-02
2.120389936556576000e+15 1.460965756256694600e-02
2.195200174190066000e+15 1.416290515408426265e-02
2.270009671186400500e+15 1.373132482405849987e-02
2.344818498433831000e+15 1.331402185593233943e-02
2.419626718053258000e+15 1.291019825008948851e-02
2.494434384713071000e+15 1.251913920065417588e-02
2.569241546714238500e+15 1.214020175134515253e-02
2.644048246891170000e+15 1.177280523082473336e-02
2.718854523363831000e+15 1.141642315024617854e-02
2.793660410169006000e+15 1.107057630925883246e-02
2.868465937792770000e+15 1.073482690621475888e-02
2.943271133621748000e+15 1.040877348712941283e-02
3.018076022327261500e+15 1.009204659859516511e-02
3.092880626193717500e+15 9.784305034204059809e-03
3.167684965400463500e+15 9.485232583514961735e-03
3.242489058264627500e+15 9.194535208268048848e-03
3.317292921451093000e+15 8.911938583222334467e-03
3.392096570154691500e+15 8.637185949295451623e-03
3.466900018258807000e+15 8.370036235104995337e-03
3.541703278473877500e+15 8.110262409923948979e-03
3.616506362458707000e+15 7.857650036765067431e-03
3.691309280927027000e+15 7.611995999033021112e-03
3.766112043741356500e+15 7.373107378112932729e-03
3.840914659995897000e+15 7.140800462546285227e-03
3.915717138089917000e+15 6.914899872197266192e-03
3.990519485792894500e+15 6.695237783128448091e-03
4.065321710302455500e+15 6.481653240860865521e-03
4.140123818296039500e+15 6.273991551350774527e-03
4.214925815977058500e+15 6.072103740424870423e-03
4.289727709116229000e+15 5.875846073617532750e-03
4.364529503088650500e+15 5.685079629382105461e-03
4.439331202907140500e+15 5.499669919530540685e-03
4.514132813252248000e+15 5.319486551515172947e-03
4.588934338499337000e+15 5.144402927821465667e-03
4.663735782743062000e+15 4.974295978307696244e-03
4.738537149819524000e+15 4.809045921819157972e-03
4.813338443326361000e+15 4.648536053832374310e-03
4.888139666640994000e+15 4.492652557257444806e-03
4.962940822937226000e+15 4.341284333852661603e-03
5.037741915200353000e+15 4.194322853990802014e-03
5.112542946240962000e+15 4.051662022766931714e-03
5.187343918707522000e+15 3.913198060658029491e-03
5.262144835097910000e+15 3.778829397138777201e-03
5.336945697769962000e+15 3.648456575829519492e-03
5.411746508951154000e+15 3.521982169904118009e-03
5.486547270747487000e+15 3.399310706620037661e-03
5.561347985151657000e+15 3.280348599952452940e-03
5.636148654050573000e+15 3.165004090420606240e-03
5.710949279232287000e+15 3.053187191289280598e-03
5.785749862392383000e+15 2.944809640412914594e-03
5.860550405139877000e+15 2.839784857065488170e-03
5.935350909002674000e+15 2.738027903166912868e-03
6.010151375432616000e+15 2.639455448377414810e-03
6.084951805810154000e+15 2.543985738585800935e-03
6.159752201448687000e+15 2.451538567366426044e-03
6.234552563598582000e+15 2.362035250023731929e-03
6.309352893450908000e+15 2.275398599882853985e-03
6.384153192140916000e+15 2.191552906520492176e-03
6.458953460751264000e+15 2.110423915662564594e-03
6.533753700315036000e+15 2.031938810504190299e-03
6.608553911818540000e+15 1.956026194233911539e-03
6.683354096203928000e+15 1.882616073567813450e-03
6.758154254371641000e+15 1.811639843120701381e-03
6.832954387182693000e+15 1.743030270461017528e-03
6.907754495460801000e+15 1.676721481713714648e-03
6.982554579994388000e+15 1.612648947591330435e-03
7.057354641538449000e+15 1.550749469747893065e-03
7.132154680816310000e+15 1.490961167363371708e-03
7.206954698521262000e+15 1.433223463878276899e-03
7.281754695318113000e+15 1.377477073808604409e-03
7.356554671844632000e+15 1.323663989581126991e-03
7.431354628712909000e+15 1.271727468337708515e-03
7.506154566510636000e+15 1.221612018665248342e-03
7.580954485802310000e+15 1.173263387214994137e-03
7.655754387130367000e+15 1.126628545181391529e-03
7.730554271016249000e+15 1.081655674616421045e-03
7.805354137961407000e+15 1.038294154560566321e-03
7.880153988448255000e+15 9.964945469762309140e-04
7.954953822941064000e+15 9.562085824735825539e-04
8.029753641886801000e+15 9.173891458225329849e-04
8.104553445715935000e+15 8.799902612478728179e-04
8.179353234843188000e+15 8.439670775075192206e-04
8.254153009668250000e+15 8.092758527564307153e-04
8.328952770576450000e+15 7.758739392010392637e-04
8.403752517939400000e+15 7.437197675510147160e-04
8.478552252115600000e+15 7.127728312769567465e-04
8.553351973451005000e+15 6.829936706840601668e-04
8.628151682279578000e+15 6.543438568131039121e-04
8.702951378923796000e+15 6.267859751811946222e-04
8.777751063695147000e+15 6.002836093755712287e-04
8.852550736894592000e+15 5.748013245145231105e-04
8.927350398813003000e+15 5.503046505900607149e-04
9.002150049731585000e+15 5.267600657074077543e-04
9.076949689922274000e+15 5.041349792367089133e-04
9.151749319648116000e+15 4.823977148925680724e-04
9.226548939163628000e+15 4.615174937571271370e-04
9.301348548715136000e+15 4.414644172624114450e-04
9.376148148541108000e+15 4.222094501476126487e-04
9.450947738872464000e+15 4.037244034068428146e-04
9.525747319932870000e+15 3.859819172426726878e-04
9.600546891939018000e+15 3.689554440405341264e-04
9.675346455100904000e+15 3.526192313787275177e-04
9.750146009622078000e+15 3.369483050884385621e-04
9.824945555699890000e+15 3.219184523777683053e-04
9.899745093525728000e+15 3.075062050333390276e-04
9.974544623285136000e+15 2.936888227126227568e-04
1.004934414515833400e+16 2.804442763395177565e-04
1.012414365932021600e+16 2.677512316154904504e-04
1.019894316594035200e+16 2.555890326577751610e-04
1.027374266518346800e+16 2.439376857756468870e-04
1.034854215720952400e+16 2.327778433954570268e-04
1.042334164217389600e+16 2.220907881443406266e-04
1.049814112022752800e+16 2.118584171020503981e-04
1.057294059151709000e+16 2.020632262298139551e-04
1.064774005618513600e+16 1.926882949845398014e-04
1.072253951437023600e+16 1.837172711261744523e-04
1.079733896620712400e+16 1.751343557254417184e-04
1.087213841182683000e+16 1.669242883786769931e-04
1.094693785135679400e+16 1.590723326359310449e-04
1.102173728492100000e+16 1.515642616479895711e-04
1.109653671264009400e+16 1.443863440374570071e-04
1.117133613463148200e+16 1.375253299985464421e-04
1.124613555100945600e+16 1.309684376297197861e-04
1.132093496188527800e+16 1.247033395028693281e-04
1.139573436736729400e+16 1.187181494722457759e-04
1.147053376756102600e+16 1.130014097259066834e-04
1.154533316256925600e+16 1.075420780820213933e-04
1.162013255249212200e+16 1.023295155319493805e-04
1.169493193742720000e+16 9.735347403160485020e-05
1.176973131746958800e+16 9.260408454223838638e-05
1.184453069271197600e+16 8.807184532139364385e-05
1.191933006324473400e+16 8.374761046443155138e-05
1.199412942915597400e+16 7.962257869669404399e-05
1.206892879053162200e+16 7.568828241603246570e-05
1.214372814745549000e+16 7.193657698513676265e-05
1.221852750000933600e+16 6.835963027279459475e-05
1.229332684827293000e+16 6.494991244294169618e-05
1.236812619232411200e+16 6.170018599009494337e-05
1.244292553223884600e+16 5.860349601951896417e-05
1.251772486809128800e+16 5.565316077023821785e-05
1.259252419995382400e+16 5.284276237879462923e-05
1.266732352789713800e+16 5.016613788144148748e-05
1.274212285199024600e+16 4.761737045227865686e-05
1.281692217230056200e+16 4.519078087465458292e-05
1.289172148889392400e+16 4.288091924299869910e-05
1.296652080183466400e+16 4.068255689209664713e-05
1.304132011118562800e+16 3.859067855068364707e-05
1.311611941700823200e+16 3.660047471610293636e-05
1.319091871936250200e+16 3.470733424666337891e-05
1.326571801830710200e+16 3.290683716822756971e-05
1.334051731389939000e+16 3.119474769146510408e-05
1.341531660619543600e+16 2.956700743612980978e-05
1.349011589525007400e+16 2.801972885864109538e-05
1.356491518111692400e+16 2.654918887919147503e-05
1.363971446384842800e+16 2.515182270454586666e-05
1.371451374349589200e+16 2.382421784265498414e-05
1.378931302010950000e+16 2.256310830516860950e-05
1.386411229373835800e+16 2.136536899390470244e-05
1.393891156443051200e+16 2.022801026731099175e-05
1.401371083223299600e+16 1.914817268294058235e-05
1.408851009719182600e+16 1.812312191195745019e-05
1.416330935935206000e+16 1.715024382168504061e-05
1.423810861875780800e+16 1.622703972221922284e-05
1.431290787545225000e+16 1.535112177313597374e-05
1.438770712947767400e+16 1.452020854634142013e-05
1.446250638087549400e+16 1.373212074113389638e-05
1.453730562968626800e+16 1.298477704757324143e-05
1.461210487594972400e+16 1.227619015428344004e-05
1.468690411970478400e+16 1.160446289684932470e-05
1.476170336098957800e+16 1.096778454300692851e-05
1.483650259984147000e+16 1.036442721086849385e-05
1.491130183629706800e+16 9.792742416468600632e-06
1.498610107039225800e+16 9.251157746965965134e-06
