ROW NUMBER=20000 (cgs units)
Nr=100
Nz=200
r[cm],z/r,z[cm],n_H[cm**-3],Tgas[K],tauv_star,tauv_zup,tauv_zdn,dtauv_z,Tdust[K]
 5.271E+11, 2.255E-01, 1.189E+11, 4.600E-10, 2.060E+03, 4.374E-22, 2.204E-23, 6.536E+04, 2.126E-23, 1.736E+03
 5.271E+11, 2.314E-01, 1.220E+11, 1.554E-11, 2.058E+03, 1.544E-23, 7.755E-25, 6.536E+04, 7.182E-25, 1.733E+03
 5.271E+11, 2.373E-01, 1.251E+11, 1.199E-12, 2.054E+03, 1.306E-24, 5.732E-26, 6.536E+04, 5.543E-26, 1.727E+03
 5.271E+11, 2.432E-01, 1.282E+11, 3.974E-14, 2.052E+03, 4.311E-26, 1.883E-27, 6.536E+04, 1.837E-27, 1.724E+03
 5.271E+11, 2.491E-01, 1.313E+11, 9.549E-16, 2.052E+03, 1.003E-27, 4.580E-29, 6.536E+04, 4.414E-29, 1.724E+03
 5.271E+11, 2.549E-01, 1.344E+11, 3.518E-17, 2.036E+03, 3.190E-29, 1.661E-30, 6.536E+04, 1.626E-30, 1.709E+03
 5.271E+11, 2.608E-01, 1.375E+11, 7.345E-19, 2.034E+03, 6.629E-31, 3.469E-32, 6.536E+04, 3.395E-32, 1.707E+03
 5.271E+11, 2.667E-01, 1.406E+11, 1.582E-20, 2.031E+03, 1.428E-32, 7.437E-34, 6.536E+04, 7.313E-34, 1.705E+03
 5.271E+11, 2.726E-01, 1.437E+11, 2.648E-22, 2.031E+03, 2.390E-34, 1.244E-35, 6.536E+04, 1.224E-35, 1.704E+03
 5.271E+11, 2.785E-01, 1.468E+11, 4.312E-24, 2.031E+03, 3.876E-36, 2.019E-37, 6.536E+04, 1.993E-37, 1.702E+03
 5.271E+11, 2.844E-01, 1.499E+11, 5.601E-26, 2.029E+03, 5.018E-38, 2.624E-39, 6.536E+04, 2.589E-39, 1.701E+03
 5.271E+11, 2.903E-01, 1.530E+11, 7.501E-28, 2.028E+03, 6.721E-40, 3.496E-41, 6.536E+04, 3.467E-41, 1.699E+03
 5.271E+11, 2.962E-01, 1.561E+11, 6.092E-30, 2.025E+03, 5.543E-42, 2.842E-43, 6.536E+04, 2.816E-43, 1.694E+03
 5.271E+11, 3.021E-01, 1.592E+11, 5.546E-32, 2.020E+03, 5.188E-44, 2.579E-45, 6.536E+04, 2.563E-45, 1.687E+03
 5.271E+11, 3.080E-01, 1.623E+11, 3.389E-34, 2.022E+03, 3.083E-46, 1.577E-47, 6.536E+04, 1.566E-47, 1.690E+03
 5.271E+11, 3.139E-01, 1.654E+11, 2.182E-36, 2.023E+03, 1.945E-48, 1.018E-49, 6.536E+04, 1.009E-49, 1.692E+03
 5.271E+11, 3.198E-01, 1.685E+11, 2.004E-38, 2.020E+03, 1.802E-50, 9.355E-52, 6.536E+04, 9.261E-52, 1.687E+03
 5.271E+11, 3.256E-01, 1.716E+11, 2.027E-40, 2.015E+03, 1.854E-52, 9.399E-54, 6.536E+04, 9.371E-54, 1.681E+03
 5.271E+11, 3.315E-01, 1.747E+11, 5.981E-43, 2.017E+03, 5.381E-55, 2.783E-56, 6.536E+04, 2.765E-56, 1.684E+03
 5.271E+11, 3.374E-01, 1.779E+11, 3.890E-45, 1.999E+03, 3.642E-57, 1.803E-58, 6.536E+04, 1.798E-58, 1.665E+03
 5.271E+11, 3.433E-01, 1.810E+11, 1.032E-47, 1.997E+03, 9.434E-60, 4.781E-61, 6.536E+04, 4.771E-61, 1.661E+03
